flight_id,origin,destination,departure_time,arrival_time
7270670,BOS,JFK,1183329600000,1183334580000
7270850,JFK,HOU,1183310400000,1183324800000
7270671,BOS,JFK,1183334100000,1183338780000
7270849,JFK,HOU,1183291800000,1183306440000
7270664,BOS,IAD,1183320000000,1183326360000
7270948,JFK,SYR,1183306200000,1183310520000
7270845,JFK,FLL,1183287600000,1183298100000
7270665,BOS,IAD,1183329300000,1183335600000
7270667,BOS,JFK,1183304100000,1183308420000
7270669,BOS,JFK,1183323000000,1183327620000
7271048,ORD,JFK,1183310100000,1183319700000
7270721,CLT,JFK,1183315500000,1183322700000
7270722,CLT,JFK,1183324500000,1183331700000
7270720,CLT,JFK,1183296900000,1183304160000
7270685,BOS,PIT,1183310100000,1183316520000
7270725,CMH,JFK,1183315200000,1183321920000
7270726,CMH,JFK,1183330500000,1183337220000
7270684,BOS,PBI,1183310100000,1183321800000
7270723,CMH,BOS,1183305300000,1183311540000
7270724,CMH,JFK,1183302000000,1183308120000
7271050,ORD,JFK,1183334100000,1183343700000
7271053,PBI,BOS,1183323900000,1183335000000
7270855,JFK,IAD,1183344600000,1183349760000
7271059,PBI,JFK,1183285500000,1183294800000
7270854,JFK,IAD,1183325100000,1183331580000
7270853,JFK,IAD,1183317900000,1183323000000
7270852,JFK,IAD,1183301100000,1183305900000
7270851,JFK,HOU,1183334400000,1183350240000
7270696,BOS,TPA,1183318500000,1183330500000
7270790,IAD,MCO,1183328400000,1183337100000
7271123,SYR,JFK,1183312800000,1183317000000
7270718,CLT,BOS,1183301700000,1183310100000
7270829,JFK,CLT,1183306200000,1183313040000
7270828,JFK,CLT,1183287600000,1183294860000
7271068,PIT,JFK,1183332300000,1183338120000
7271067,PIT,JFK,1183318500000,1183324200000
7271064,PIT,BOS,1183314300000,1183320420000
7270687,BOS,RDU,1183314000000,1183321920000
7271066,PIT,JFK,1183300200000,1183305600000
7270688,BOS,RIC,1183301700000,1183307820000
7271065,PIT,JFK,1183287000000,1183292700000
7270689,BOS,RIC,1183337100000,1183343400000
7270705,BUF,BOS,1183303200000,1183308000000
7271083,RIC,JFK,1183299900000,1183304220000
7271129,TPA,BOS,1183332600000,1183343460000
7270798,JFK,AUS,1183295100000,1183310040000
7271084,RIC,JFK,1183314600000,1183319280000
7271071,PWM,JFK,1183289400000,1183294800000
7271081,RIC,BOS,1183287600000,1183293000000
7271082,RIC,BOS,1183309800000,1183315380000
7270797,JFK,ACK,1183325700000,1183331580000
7271080,RDU,JFK,1183307400000,1183313100000
7270832,JFK,CLT,1183315200000,1183322340000
7271079,RDU,JFK,1183336800000,1183342500000
7270835,JFK,CMH,1183320900000,1183328580000
7271076,RDU,JFK,1183284300000,1183289820000
7271075,RDU,BOS,1183323900000,1183331700000
7271085,RIC,JFK,1183333500000,1183338420000
7270834,JFK,CMH,1183306500000,1183313100000
7270833,JFK,CMH,1183292400000,1183299600000
7271074,PWM,JFK,1183332000000,1183336500000
7270905,JFK,PWM,1183334100000,1183340460000
7270803,JFK,BNA,1183338900000,1183349100000
7270800,JFK,AUS,1183337100000,1183352760000
7270903,JFK,PIT,1183338300000,1183345620000
7270801,JFK,BNA,1183295100000,1183304400000
7270908,JFK,PWM,1183323300000,1183329600000
7270775,IAD,BOS,1183302600000,1183308180000
7270774,IAD,BOS,1183294200000,1183299720000
7270808,JFK,BOS,1183324500000,1183330560000
7270777,IAD,BOS,1183337400000,1183342800000
7270893,JFK,PBI,1183335300000,1183347000000
7270809,JFK,BOS,1183329600000,1183335660000
7270901,JFK,PIT,1183306200000,1183312080000
7270806,JFK,BOS,1183313400000,1183318080000
7270902,JFK,PIT,1183322400000,1183330020000
7270900,JFK,PIT,1183291500000,1183298100000
7270805,JFK,BOS,1183297500000,1183302000000
7270889,JFK,ORD,1183321500000,1183331640000
7270780,IAD,JFK,1183292700000,1183297200000
7270781,IAD,JFK,1183308300000,1183312620000
7270782,IAD,JFK,1183325100000,1183330380000
7270783,IAD,JFK,1183334400000,1183339500000
7270887,JFK,ORD,1183297500000,1183307400000
7270914,JFK,RDU,1183298700000,1183304820000
7270915,JFK,RIC,1183291800000,1183297620000
7270916,JFK,RIC,1183307400000,1183312620000
7270917,JFK,RIC,1183324200000,1183331100000
7270766,HOU,JFK,1183291200000,1183303560000
7270912,JFK,RDU,1183326300000,1183334220000
7270768,HOU,JFK,1183327200000,1183340280000
7270913,JFK,RDU,1183340400000,1183348320000
7270767,HOU,JFK,1183308900000,1183321320000
7271013,MCO,IAD,1183339200000,1183347000000
7270654,BOS,BUF,1183294800000,1183300560000
7270653,BOS,AUS,1183289400000,1183305000000
7270658,BOS,CMH,1183294800000,1183303200000
7270657,BOS,CLT,1183291800000,1183299600000
7270662,BOS,IAD,1183294800000,1183300800000
7270645,ACK,JFK,1183334100000,1183339800000
7270648,AUS,JFK,1183308000000,1183321680000
7270647,AUS,JFK,1183291200000,1183304400000
7270646,AUS,BOS,1183312500000,1183327200000
7270745,FLL,HPN,1183300500000,1183311000000
7270652,BNA,JFK,1183287900000,1183296300000
7270650,BNA,JFK,1183306800000,1183315140000
