route_id,flight_id
1,7270833
1,7270724
1,7270797
1,7270645
2,7270774
2,7270688
2,7271082
2,7270696
2,7271129
3,7270647
3,7270948
3,7271123
3,7270835
3,7270726
4,7270834
4,7270725
5,7270766
5,7270829
5,7270721
5,7270808
5,7270671
6,7271065
6,7270798
6,7270646
6,7270665
6,7270777
7,7271076
7,7270849
7,7270767
7,7270908
7,7271074
7,7270903
8,7270801
8,7270650
8,7270853
8,7270782
8,7270893
9,7270662
9,7270775
9,7270684
9,7271053
9,7270689
10,7270900
10,7271066
10,7270916
10,7271084
10,7270902
10,7271068
11,7270828
11,7270720
11,7270901
11,7271064
11,7270669
11,7270809
12,7271071
12,7270887
12,7271048
12,7270889
12,7271050
13,7270806
14,7270657
14,7270718
14,7270670
14,7270800
15,7271081
15,7270654
15,7270705
15,7270685
15,7271067
15,7270912
15,7271079
15,7270855
16,7270652
16,7270914
16,7271080
16,7270832
16,7270722
16,7270905
17,7270915
17,7271083
17,7270917
17,7271085
17,7270913
18,7270658
18,7270723
18,7270687
18,7271075
19,7270851
20,7270845
20,7270745
21,7271059
21,7270805
21,7270667
21,7270850
21,7270768
22,7270653
22,7270648
22,7270854
22,7270783
23,7270664
23,7270790
23,7271013
24,7270780
24,7270852
24,7270781
24,7270803
